order_id,product_id,quantity,price
1,16,1,119.35
2,9,3,190.02
3,11,3,165.89
3,32,2,153.53
4,35,2,166.3
4,34,1,45.19
4,19,3,98.32
5,14,3,16.63
5,36,1,182.14
5,9,2,92.01
5,28,2,156.0
6,27,1,13.8
6,9,1,121.07
6,32,1,102.74
6,20,2,175.1
7,5,3,35.81
7,1,2,157.47
7,24,2,138.4
7,4,1,160.04
8,7,2,122.81
8,50,3,59.31
8,14,2,57.85
9,42,1,142.39
9,12,1,97.47
9,4,2,77.07
10,29,2,173.94
10,16,3,103.86
10,18,2,111.96
10,16,1,135.64
11,15,3,146.57
11,5,2,184.12
11,36,2,39.5
11,16,3,78.12
12,32,3,159.58
12,46,2,144.95
12,12,1,164.89
12,41,3,122.31
13,28,3,181.76
13,26,1,149.82
14,47,3,101.46
14,14,2,116.5
15,6,1,171.32
16,41,2,163.14
17,39,1,132.31
17,37,3,183.05
18,43,2,108.2
18,19,2,49.87
18,2,1,104.3
18,28,2,157.93
19,2,2,90.35
19,34,2,79.44
19,5,3,137.94
19,26,3,162.74
20,48,3,50.94
20,12,2,198.2
20,27,2,148.63
21,13,2,118.92
21,26,1,17.9
21,36,1,80.87
21,12,1,186.69
22,38,3,170.54
22,16,2,15.78
22,23,1,34.25
22,8,3,99.59
23,34,2,33.28
23,17,3,182.46
24,32,1,175.28
24,40,1,126.68
24,27,3,120.0
24,34,3,140.51
25,31,1,29.58
25,18,3,191.01
25,23,3,159.52
25,25,1,25.72
26,45,2,188.33
26,29,1,64.98
26,15,1,35.61
26,34,2,93.63
27,30,2,110.75
27,26,2,41.58
27,20,3,150.94
28,23,1,160.43
29,45,2,118.43
29,6,2,114.5
29,38,1,145.95
30,2,1,67.71
30,50,3,117.89
30,2,3,21.48
31,7,2,102.22
32,22,3,127.05
33,4,3,69.28
33,39,1,175.38
33,48,3,71.71
34,47,2,25.13
34,35,2,190.1
35,29,2,33.68
35,17,2,180.53
35,50,1,85.52
36,39,3,151.11
36,50,1,183.74
36,27,3,187.34
36,46,1,188.47
37,44,1,178.35
37,4,1,186.28
37,34,3,128.67
38,38,1,29.15
38,30,2,43.64
38,8,3,182.77
38,8,3,149.86
39,16,1,63.03
39,12,3,48.43
39,32,1,105.88
40,2,1,187.87
40,26,3,179.79
40,33,2,174.69
41,17,1,52.73
41,26,3,155.18
42,46,1,10.18
42,28,3,197.19
42,16,1,97.44
43,37,2,74.79
44,48,2,110.09
44,17,1,59.05
45,50,3,38.15
45,13,2,176.7
45,20,2,180.97
45,19,1,163.4
46,6,2,74.03
46,39,2,94.01
47,47,1,182.68
47,16,1,76.12
47,24,3,155.72
48,14,2,146.07
48,18,3,30.49
49,40,3,40.67
49,44,1,195.93
49,33,3,121.93
49,17,1,55.83
50,18,3,127.34
51,23,1,50.14
52,22,3,59.63
52,41,3,70.73
52,33,2,59.95
52,19,2,143.84
53,14,2,42.62
53,18,2,184.03
53,21,3,198.17
54,39,2,146.52
54,47,1,37.64
54,2,2,12.96
54,41,3,48.15
55,41,3,97.46
55,36,1,32.65
55,20,2,117.76
55,24,3,16.05
56,8,3,174.88
56,13,1,23.52
57,50,3,172.4
57,4,1,178.85
57,15,1,63.24
57,24,1,58.95
58,16,3,181.27
58,35,1,127.06
59,19,2,183.94
59,49,3,75.47
59,8,2,97.75
59,9,1,100.37
60,15,3,22.32
60,50,3,91.21
61,38,2,139.07
61,39,2,83.7
61,7,2,131.61
61,4,3,171.34
62,31,1,35.88
62,18,1,67.23
62,36,2,178.84
62,48,1,186.56
63,21,3,48.28
64,50,3,123.61
64,40,3,71.08
64,5,1,147.35
65,39,3,15.41
65,21,3,171.73
65,47,3,118.37
65,13,2,158.97
66,37,1,144.02
66,15,3,63.76
67,29,1,174.91
68,29,2,144.29
69,50,1,88.99
69,20,1,72.81
69,27,3,100.01
70,45,3,75.94
70,1,1,62.17
71,42,1,106.15
71,43,3,60.67
71,31,1,40.41
71,37,3,196.99
72,2,2,71.26
72,24,1,160.67
72,34,1,12.24
72,30,2,45.01
73,43,1,139.49
73,7,1,145.56
73,11,2,26.8
74,37,1,20.26
74,12,2,164.5
74,27,2,158.03
74,5,1,185.22
75,27,1,167.73
75,1,2,91.78
76,15,3,185.85
76,20,1,30.71
77,8,1,41.17
78,30,2,37.3
78,11,3,11.37
78,13,3,138.67
78,2,1,195.87
79,17,2,57.69
79,15,3,165.92
79,3,2,199.6
79,2,1,147.6
80,44,3,182.57
80,26,2,63.44
81,48,1,83.98
82,43,2,115.39
82,33,3,90.32
82,49,2,191.57
82,49,2,47.95
83,26,2,164.37
83,15,1,65.12
83,13,2,141.86
84,44,3,184.24
84,14,2,158.3
84,23,2,86.46
85,30,1,36.99
85,36,1,92.58
86,14,2,11.53
86,31,2,110.96
86,1,3,64.09
86,14,1,92.75
87,5,2,134.02
87,40,2,39.77
87,7,2,123.89
88,39,3,174.86
88,33,2,82.25
88,28,2,74.27
89,21,3,181.85
89,41,3,98.31
89,3,3,103.77
89,14,2,107.48
90,12,2,159.83
90,10,2,173.8
91,15,3,166.79
92,21,1,174.98
93,5,3,112.92
93,18,1,113.62
93,34,2,73.28
93,24,1,194.16
94,49,2,85.13
95,23,2,17.97
95,40,3,174.35
96,20,1,55.09
96,4,1,142.58
96,26,3,89.47
97,6,3,62.2
97,35,2,72.2
97,41,2,169.69
98,43,3,29.68
98,5,3,25.76
98,25,2,99.67
98,34,2,79.01
99,39,2,96.63
99,39,1,141.81
99,38,3,172.07
99,34,2,146.06
100,25,2,100.44
100,25,2,148.49
100,23,3,168.64
101,10,2,65.05
102,13,2,80.36
102,41,1,109.56
103,37,2,13.89
104,39,2,142.25
104,47,1,29.62
104,19,2,92.85
104,47,2,163.13
105,26,1,72.08
105,19,3,192.13
105,19,1,141.99
106,43,1,19.4
107,8,2,164.77
107,13,2,36.82
107,49,1,145.08
108,15,2,110.44
108,45,2,66.63
108,49,3,22.53
109,23,3,161.3
110,21,1,177.53
110,16,3,61.97
110,25,2,41.76
110,45,1,158.25
111,1,1,127.85
112,6,1,144.13
112,40,3,138.99
112,38,3,34.05
112,30,2,174.3
113,12,3,179.5
113,21,2,152.2
114,40,3,85.65
114,29,2,91.29
115,41,3,192.32
116,37,2,166.81
116,48,1,155.78
116,1,2,87.8
117,21,3,103.97
117,19,1,82.58
117,46,3,119.39
118,27,3,23.88
118,27,2,173.08
118,28,3,194.55
119,40,3,46.17
119,31,2,109.02
119,41,1,109.72
119,15,1,186.42
120,32,2,75.25
120,38,2,77.31
120,21,2,95.36
120,28,2,172.67
121,20,3,87.87
121,7,1,11.87
122,45,1,71.13
122,17,1,180.17
122,47,3,101.56
122,4,3,122.8
123,9,2,13.4
123,22,2,125.82
124,36,1,50.02
124,9,2,73.75
125,15,2,89.3
125,31,2,14.59
126,48,3,111.95
126,19,3,186.79
127,43,1,186.52
128,18,1,104.54
128,14,3,30.86
128,24,3,85.41
128,17,2,109.79
129,12,2,120.03
129,47,3,51.78
129,5,2,79.17
129,28,1,94.35
130,31,1,155.28
130,43,1,89.71
130,1,1,189.57
131,22,2,140.63
131,12,3,97.17
131,5,3,187.97
131,10,3,180.0
132,37,3,187.57
132,15,2,62.18
132,26,2,99.4
132,10,1,177.59
133,48,1,90.31
133,7,2,56.61
134,22,3,97.74
135,27,1,23.97
136,43,3,93.05
136,20,3,190.64
136,6,1,12.83
137,39,2,185.68
138,22,2,96.62
138,49,1,161.75
138,42,2,191.47
138,14,3,176.92
139,12,3,148.21
139,25,2,14.25
139,3,1,60.1
139,48,2,121.95
140,46,2,148.29
140,16,2,115.45
140,27,1,188.63
141,25,2,56.09
141,14,2,190.53
142,47,3,56.04
142,14,2,53.91
142,20,2,60.89
142,24,2,41.45
143,40,1,43.64
143,4,3,79.19
143,5,2,153.75
144,50,1,172.75
144,13,3,37.57
144,17,1,84.85
145,20,1,53.51
145,8,1,134.73
145,6,3,43.19
146,22,2,125.18
147,29,1,152.97
147,26,1,63.83
148,21,1,45.35
148,21,1,195.6
148,45,1,161.1
149,17,1,32.34
149,6,2,52.71
149,32,1,104.19
150,37,3,48.43
151,48,2,136.91
151,16,1,94.08
152,31,2,105.46
152,3,1,144.29
153,22,2,130.19
154,20,3,146.06
155,29,3,92.32
155,5,3,137.62
156,1,2,87.61
156,39,2,142.85
157,26,1,169.08
157,48,3,189.05
158,34,3,65.34
158,44,2,112.48
158,5,3,153.93
159,35,2,58.38
159,11,3,39.62
159,8,2,103.87
160,4,2,165.16
160,26,2,106.37
161,45,1,30.23
162,14,3,33.11
162,3,1,58.53
162,46,2,18.32
163,14,2,133.67
163,8,2,86.32
163,32,2,109.31
164,30,2,172.51
165,7,2,138.26
165,47,2,145.27
165,41,2,128.91
166,5,1,115.79
166,49,2,35.54
166,15,3,125.16
166,34,1,32.04
167,17,2,26.3
167,18,3,48.96
167,32,2,170.74
167,50,2,148.12
168,17,3,63.37
168,10,1,67.78
168,19,1,113.31
169,14,1,81.16
169,29,3,83.59
170,20,3,141.96
170,19,1,165.65
170,45,2,141.23
170,24,1,67.52
171,18,3,191.61
171,19,3,121.86
172,4,2,67.0
172,41,3,88.76
172,37,1,53.7
173,13,2,163.31
173,25,3,58.24
173,44,2,21.44
174,50,2,98.37
174,2,2,138.92
174,31,1,88.75
174,50,3,185.41
175,38,3,175.86
176,20,3,66.38
177,32,1,46.49
177,21,2,47.64
177,42,1,128.24
177,46,1,69.1
178,11,1,190.34
178,11,2,76.81
179,15,3,199.94
179,28,2,156.59
180,20,1,176.24
181,1,3,40.9
181,42,2,167.9
181,2,2,85.01
181,5,2,77.24
182,30,2,183.44
182,38,3,147.12
183,17,2,88.2
183,17,2,95.14
184,36,2,118.17
184,6,2,122.52
185,12,1,86.04
185,31,3,18.17
185,25,1,162.26
185,27,1,43.24
186,41,3,78.29
187,15,1,58.86
187,6,3,111.28
187,28,1,122.34
188,31,3,190.24
188,43,3,176.61
188,3,2,77.83
189,29,2,192.45
189,15,3,176.25
189,29,2,15.9
189,23,2,19.6
190,49,3,97.46
190,2,1,98.53
190,33,2,144.3
190,44,3,46.28
191,45,2,148.38
191,22,1,189.59
191,22,2,58.38
192,44,3,194.0
192,42,3,33.24
192,41,2,97.62
192,44,1,83.42
193,32,1,14.39
193,29,1,174.51
193,48,3,123.14
194,36,1,188.06
194,5,2,146.35
195,7,1,61.67
195,22,3,16.35
195,50,2,19.33
196,38,2,111.15
197,21,3,193.07
197,34,2,161.07
197,34,3,62.03
197,30,1,165.64
198,35,1,93.95
198,9,1,146.5
198,36,1,181.94
198,34,3,95.57
199,49,1,150.92
199,12,1,99.41
199,15,3,111.96
199,24,2,166.99
200,4,2,23.67
200,24,2,77.07
201,6,3,29.77
201,3,3,111.14
201,10,2,134.6
202,10,1,15.78
202,5,1,42.76
202,24,1,110.47
202,32,1,93.47
203,21,3,79.97
203,21,3,13.45
203,6,1,85.84
203,14,2,88.0
204,11,3,190.31
204,6,2,82.64
205,2,2,181.0
206,32,2,159.36
206,6,3,32.12
206,30,2,13.84
206,32,1,99.16
207,22,3,172.31
207,21,3,79.89
207,50,3,168.09
207,15,1,189.18
208,50,1,192.23
209,48,3,71.7
209,44,3,154.74
209,40,2,111.45
209,17,1,22.33
210,15,1,146.42
210,12,2,116.72
210,42,1,124.04
211,16,1,43.19
211,14,3,47.89
212,39,2,82.69
212,24,3,27.23
212,30,2,63.85
212,9,2,125.45
213,48,1,128.29
213,28,2,118.12
213,11,1,102.73
213,47,2,53.16
214,5,2,154.66
215,46,1,183.94
215,27,1,32.78
216,16,2,36.89
216,20,2,135.61
216,23,1,57.26
216,17,1,91.21
217,31,3,22.47
217,50,2,155.32
218,28,3,90.48
218,45,3,11.97
219,47,2,66.69
219,1,3,168.59
219,45,3,15.91
220,31,3,113.32
